component	annotator	ic_type	confidence	annotater
ICA000	ic_label	eog	0.99932194	n/a
ICA001	ic_label	eog	0.47121888	n/a
ICA002	ic_label	muscle	0.9995975	n/a
ICA003	ic_label	brain	0.99871	n/a
ICA004	ic_label	muscle	0.96368796	n/a
ICA005	ic_label	muscle	0.99846727	n/a
ICA006	ic_label	brain	0.9998272	n/a
ICA007	ic_label	brain	0.9134519	n/a
ICA008	ic_label	muscle	0.9999794	n/a
ICA009	ic_label	other	0.84051955	n/a
ICA010	ic_label	brain	0.99421084	n/a
ICA011	ic_label	brain	0.69169444	n/a
ICA012	ic_label	brain	0.90858626	n/a
ICA013	ic_label	eog	0.9764331	n/a
ICA014	ic_label	other	0.56002146	n/a
ICA015	ic_label	other	0.60006934	n/a
ICA016	ic_label	other	0.9456619	n/a
ICA017	ic_label	eog	0.3892913	n/a
ICA018	ic_label	brain	0.88482237	n/a
ICA019	ic_label	brain	0.97065395	n/a
ICA020	ic_label	brain	0.66893256	n/a
ICA021	ic_label	brain	0.5320868	n/a
ICA022	ic_label	brain	0.9978888	n/a
ICA023	ic_label	other	0.976598	n/a
ICA024	ic_label	other	0.9456569	n/a
